shape,rate,shift,llh.missing,llh.all
7.1875,0.71875,9.875,-207.518391929218,-207.518391929218
6.5625,0.78125,8.125,-206.004801969996,-206.004801969996
6.5625,0.78125,8.375,-206.675013051512,-206.675013051512
6.5625,0.84375,8.125,-207.733130699021,-207.733130699021
7.1875,0.78125,8.125,-205.659218053093,-205.659218053093
7.1875,0.78125,8.375,-205.530959011251,-205.530959011251
7.1875,0.84375,8.125,-205.606268811946,-205.606268811946
7.1875,0.84375,8.375,-206.107998521924,-206.107998521924
6.5625,0.78125,8.625,-207.604585241002,-207.604585241002
7.1875,0.78125,8.625,-205.688794984303,-205.688794984303
7.1875,0.78125,8.875,-206.115634334915,-206.115634334915
7.1875,0.84375,8.625,-206.887424837857,-206.887424837857
7.1875,0.84375,8.875,-207.92722304467,-207.92722304467
7.1875,0.90625,8.125,-206.946115568978,-206.946115568978
7.1875,0.90625,8.375,-208.017750699638,-208.017750699638
7.1875,0.78125,9.125,-206.795801028733,-206.795801028733
7.1875,0.78125,9.375,-207.714857236207,-207.714857236207
7.8125,0.71875,9.125,-207.234889554763,-207.234889554763
7.8125,0.71875,9.375,-206.717667986598,-206.717667986598
7.8125,0.71875,9.625,-206.455351492529,-206.455351492529
7.8125,0.71875,9.875,-206.435077875345,-206.435077875345
8.4375,0.71875,9.875,-207.768606099794,-207.768606099794
7.8125,0.78125,8.125,-207.727133673657,-207.727133673657
7.8125,0.78125,8.375,-206.772421458345,-206.772421458345
7.8125,0.84375,8.125,-205.669988526372,-205.669988526372
7.8125,0.84375,8.375,-205.391331394684,-205.391331394684
8.4375,0.84375,8.125,-207.902395577001,-207.902395577001
8.4375,0.84375,8.375,-206.81572595029,-206.81572595029
7.8125,0.78125,8.625,-206.129676615989,-206.129676615989
7.8125,0.78125,8.875,-205.780869218943,-205.780869218943
7.8125,0.84375,8.625,-205.417120372781,-205.417120372781
7.8125,0.84375,8.875,-205.729091426823,-205.729091426823
8.4375,0.78125,8.875,-207.738840350496,-207.738840350496
8.4375,0.84375,8.625,-206.059449486059,-206.059449486059
8.4375,0.84375,8.875,-205.614380921203,-205.614380921203
7.8125,0.90625,8.125,-205.37527416093,-205.37527416093
7.8125,0.90625,8.375,-205.714977518729,-205.714977518729
7.8125,0.96875,8.125,-206.379630422652,-206.379630422652
7.8125,0.96875,8.375,-207.281016839507,-207.281016839507
8.4375,0.90625,8.125,-205.780369131191,-205.780369131191
8.4375,0.90625,8.375,-205.356081973317,-205.356081973317
8.4375,0.96875,8.125,-205.276536892592,-205.276536892592
8.4375,0.96875,8.375,-205.459821471492,-205.459821471492
7.8125,0.90625,8.625,-206.350186753848,-206.350186753848
7.8125,0.90625,8.875,-207.262402002608,-207.262402002608
8.4375,0.90625,8.625,-205.254071867528,-205.254071867528
8.4375,0.90625,8.875,-205.454914539514,-205.454914539514
8.4375,0.96875,8.625,-205.955953651093,-205.955953651093
8.4375,0.96875,8.875,-206.745271291976,-206.745271291976
9.0625,0.84375,8.875,-207.564038103475,-207.564038103475
9.0625,0.90625,8.125,-208.150041056842,-208.150041056842
9.0625,0.90625,8.375,-206.934620794664,-206.934620794664
9.0625,0.96875,8.125,-205.969788227991,-205.969788227991
9.0625,0.96875,8.375,-205.404045478847,-205.404045478847
9.6875,0.96875,8.375,-207.113861049628,-207.113861049628
9.0625,0.90625,8.625,-206.067499413539,-206.067499413539
9.0625,0.90625,8.875,-205.528345900574,-205.528345900574
9.0625,0.96875,8.625,-205.177946748283,-205.177946748283
9.0625,0.96875,8.875,-205.270918323967,-205.270918323967
9.6875,0.90625,8.875,-207.473988726074,-207.473988726074
9.6875,0.96875,8.625,-206.138245770967,-206.138245770967
9.6875,0.96875,8.875,-205.506901040889,-205.506901040889
7.8125,0.78125,9.125,-205.709457914806,-205.709457914806
7.8125,0.78125,9.375,-205.900204584939,-205.900204584939
7.8125,0.84375,9.125,-206.310473182266,-206.310473182266
7.8125,0.84375,9.375,-207.1458015133,-207.1458015133
8.4375,0.78125,9.125,-206.890900415915,-206.890900415915
8.4375,0.78125,9.375,-206.327643383452,-206.327643383452
8.4375,0.84375,9.125,-205.462899133994,-205.462899133994
8.4375,0.84375,9.375,-205.588753811242,-205.588753811242
7.8125,0.78125,9.625,-206.339019328904,-206.339019328904
7.8125,0.78125,9.875,-207.012829729357,-207.012829729357
7.8125,0.84375,9.625,-208.2207644928,-208.2207644928
8.4375,0.78125,9.625,-206.034248974947,-206.034248974947
8.4375,0.78125,9.875,-205.996966476854,-205.996966476854
8.4375,0.84375,9.625,-205.976903622695,-205.976903622695
8.4375,0.84375,9.875,-206.613379595051,-206.613379595051
8.4375,0.90625,9.125,-205.940754295512,-205.940754295512
8.4375,0.90625,9.375,-206.695110687845,-206.695110687845
8.4375,0.96875,9.125,-207.809687074318,-207.809687074318
8.4375,0.90625,9.625,-207.702716700353,-207.702716700353
9.0625,0.84375,9.125,-206.654632811253,-206.654632811253
9.0625,0.84375,9.375,-206.04525122131,-206.04525122131
9.0625,0.78125,9.625,-207.913492329627,-207.913492329627
9.0625,0.78125,9.875,-207.142801364762,-207.142801364762
9.0625,0.84375,9.625,-205.720134862422,-205.720134862422
9.0625,0.84375,9.875,-205.664648547749,-205.664648547749
9.6875,0.84375,9.625,-207.433578355153,-207.433578355153
9.6875,0.84375,9.875,-206.663341315018,-206.663341315018
9.0625,0.90625,9.125,-205.298468031507,-205.298468031507
9.0625,0.90625,9.375,-205.360611080437,-205.360611080437
9.0625,0.96875,9.125,-205.664030059256,-205.664030059256
9.0625,0.96875,9.375,-206.339794155131,-206.339794155131
9.6875,0.90625,9.125,-206.503423222622,-206.503423222622
9.6875,0.90625,9.375,-205.847719736057,-205.847719736057
9.6875,0.96875,9.125,-205.200071518835,-205.200071518835
9.6875,0.96875,9.375,-205.199505310528,-205.199505310528
9.0625,0.90625,9.625,-205.698789266682,-205.698789266682
9.0625,0.90625,9.875,-206.298143348567,-206.298143348567
9.0625,0.96875,9.625,-207.281996675603,-207.281996675603
9.6875,0.90625,9.625,-205.490186457717,-205.490186457717
9.6875,0.90625,9.875,-205.415307961209,-205.415307961209
9.6875,0.96875,9.625,-205.488278736751,-205.488278736751
9.6875,0.96875,9.875,-206.050648227754,-206.050648227754
6.5625,0.59375,10.125,-207.975397621324,-207.975397621324
7.1875,0.65625,10.125,-207.221609912542,-207.221609912542
7.1875,0.65625,10.375,-207.639364333517,-207.639364333517
7.1875,0.65625,10.625,-208.253342832835,-208.253342832835
7.8125,0.65625,10.125,-208.04085262139,-208.04085262139
7.8125,0.65625,10.375,-207.722228313633,-207.722228313633
7.8125,0.71875,10.125,-206.644888990424,-206.644888990424
7.8125,0.71875,10.375,-207.073635737754,-207.073635737754
8.4375,0.71875,10.125,-207.244720005478,-207.244720005478
8.4375,0.71875,10.375,-206.958776402445,-206.958776402445
7.8125,0.65625,10.625,-207.618015199243,-207.618015199243
7.8125,0.65625,10.875,-207.718631484097,-207.718631484097
7.8125,0.71875,10.625,-207.710896292605,-207.710896292605
8.4375,0.71875,10.625,-206.899797751107,-206.899797751107
8.4375,0.71875,10.875,-207.057498636743,-207.057498636743
9.0625,0.71875,10.875,-207.851315675706,-207.851315675706
7.8125,0.65625,11.125,-208.015088943659,-208.015088943659
8.4375,0.71875,11.125,-207.422220924407,-207.422220924407
8.4375,0.71875,11.375,-207.984876982976,-207.984876982976
9.0625,0.71875,11.125,-207.535079572288,-207.535079572288
9.0625,0.71875,11.375,-207.433189652442,-207.433189652442
9.0625,0.71875,11.625,-207.536651860913,-207.536651860913
9.0625,0.71875,11.875,-207.836973445846,-207.836973445846
9.6875,0.71875,11.875,-208.167800236149,-208.167800236149
7.8125,0.78125,10.125,-207.909469796378,-207.909469796378
8.4375,0.78125,10.125,-206.202998517883,-206.202998517883
8.4375,0.78125,10.375,-206.640401509443,-206.640401509443
8.4375,0.84375,10.125,-207.485168902423,-207.485168902423
8.4375,0.78125,10.625,-207.297999852754,-207.297999852754
8.4375,0.78125,10.875,-208.165311615097,-208.165311615097
9.0625,0.78125,10.125,-206.635259942924,-206.635259942924
9.0625,0.78125,10.375,-206.3783428045,-206.3783428045
9.0625,0.84375,10.125,-205.865159093421,-205.865159093421
9.0625,0.84375,10.375,-206.308931322374,-206.308931322374
9.6875,0.78125,10.375,-208.201851086836,-208.201851086836
9.6875,0.84375,10.125,-206.169161471238,-206.169161471238
9.6875,0.84375,10.375,-205.937732910849,-205.937732910849
9.0625,0.78125,10.625,-206.360331133175,-206.360331133175
9.0625,0.78125,10.875,-206.570234654955,-206.570234654955
9.0625,0.84375,10.625,-206.984038354537,-206.984038354537
9.0625,0.84375,10.875,-207.87928381167,-207.87928381167
9.6875,0.78125,10.625,-207.488207312723,-207.488207312723
9.6875,0.78125,10.875,-207.020107426671,-207.020107426671
9.6875,0.84375,10.625,-205.956595639802,-205.956595639802
9.6875,0.84375,10.875,-206.214054277033,-206.214054277033
9.0625,0.90625,10.125,-207.144819383221,-207.144819383221
9.0625,0.90625,10.375,-208.225864825511,-208.225864825511
9.6875,0.90625,10.125,-205.608618952474,-205.608618952474
9.6875,0.90625,10.375,-206.056595933163,-206.056595933163
9.6875,0.96875,10.125,-206.871924151146,-206.871924151146
9.6875,0.96875,10.375,-207.938362595658,-207.938362595658
9.6875,0.90625,10.625,-206.746563668003,-206.746563668003
9.6875,0.90625,10.875,-207.666614004106,-207.666614004106
9.0625,0.78125,11.125,-206.997723691171,-206.997723691171
9.0625,0.78125,11.375,-207.633069624742,-207.633069624742
9.6875,0.78125,11.125,-206.786749699804,-206.786749699804
9.6875,0.78125,11.375,-206.777962624428,-206.777962624428
9.6875,0.84375,11.125,-206.69910708271,-206.69910708271
9.6875,0.84375,11.375,-207.401383732781,-207.401383732781
9.6875,0.78125,11.625,-206.984149976018,-206.984149976018
9.6875,0.78125,11.875,-207.396242209666,-207.396242209666
9.6875,0.84375,11.625,-208.311090541266,-208.311090541266
6.5625,1.03125,5.875,-207.70442216949,-207.70442216949
6.5625,1.09375,5.875,-208.078161648674,-208.078161648674
7.1875,1.09375,5.875,-208.288974975896,-208.288974975896
7.1875,1.15625,5.875,-208.236316340029,-208.236316340029
6.5625,1.03125,6.125,-207.245013248146,-207.245013248146
6.5625,1.03125,6.375,-207.275231535018,-207.275231535018
6.5625,1.09375,6.125,-208.080938137401,-208.080938137401
7.1875,1.03125,6.125,-207.640835606845,-207.640835606845
7.1875,1.03125,6.375,-206.797648235069,-206.797648235069
7.1875,1.09375,6.125,-207.421192460147,-207.421192460147
7.1875,1.09375,6.375,-207.077157526955,-207.077157526955
6.5625,1.03125,6.625,-207.745571051811,-207.745571051811
7.1875,1.03125,6.625,-206.436627146885,-206.436627146885
7.1875,1.03125,6.875,-206.513498555907,-206.513498555907
7.1875,1.09375,6.625,-207.204403765462,-207.204403765462
7.1875,1.09375,6.875,-207.758412288318,-207.758412288318
7.1875,1.15625,6.125,-207.83694655583,-207.83694655583
7.1875,1.15625,6.375,-207.949884884781,-207.949884884781
7.1875,1.03125,7.125,-206.990038195825,-206.990038195825
7.1875,1.03125,7.375,-207.83278663647,-207.83278663647
7.8125,1.03125,6.375,-208.183896035458,-208.183896035458
7.8125,1.09375,6.375,-207.294724342211,-207.294724342211
7.8125,1.03125,6.625,-206.952636728789,-206.952636728789
7.8125,1.03125,6.875,-206.198131748599,-206.198131748599
7.8125,1.09375,6.625,-206.597475733603,-206.597475733603
7.8125,1.09375,6.875,-206.366470547402,-206.366470547402
8.4375,1.03125,6.875,-207.677870055491,-207.677870055491
8.4375,1.09375,6.625,-207.669277108937,-207.669277108937
8.4375,1.09375,6.875,-206.615922559432,-206.615922559432
7.8125,1.15625,6.125,-207.895866444179,-207.895866444179
7.8125,1.15625,6.375,-207.187633507701,-207.187633507701
7.8125,1.21875,6.125,-207.930637754428,-207.930637754428
7.8125,1.21875,6.375,-207.684366691029,-207.684366691029
8.4375,1.15625,6.375,-208.000445483752,-208.000445483752
8.4375,1.21875,6.375,-207.54657691651,-207.54657691651
7.8125,1.15625,6.625,-206.981309672298,-206.981309672298
7.8125,1.15625,6.875,-207.229857947051,-207.229857947051
7.8125,1.21875,6.625,-207.928126319598,-207.928126319598
8.4375,1.15625,6.625,-206.976109630732,-206.976109630732
8.4375,1.15625,6.875,-206.445889107931,-206.445889107931
8.4375,1.21875,6.625,-207.015228921975,-207.015228921975
8.4375,1.21875,6.875,-206.966398265573,-206.966398265573
9.0625,1.15625,6.875,-207.180056337125,-207.180056337125
9.0625,1.21875,6.625,-207.53032407048,-207.53032407048
9.0625,1.21875,6.875,-206.708654718466,-206.708654718466
9.6875,1.21875,6.875,-207.862253264642,-207.862253264642
7.8125,1.03125,7.125,-205.880219505527,-205.880219505527
7.8125,1.03125,7.375,-205.963738432926,-205.963738432926
7.8125,1.09375,7.125,-206.561290343721,-206.561290343721
7.8125,1.09375,7.375,-207.146524123745,-207.146524123745
8.4375,1.03125,7.125,-206.530323816366,-206.530323816366
8.4375,1.03125,7.375,-205.818591236596,-205.818591236596
8.4375,1.09375,7.125,-206.025111753281,-206.025111753281
8.4375,1.09375,7.375,-205.859744036757,-205.859744036757
7.8125,1.03125,7.625,-206.417557995921,-206.417557995921
7.8125,1.03125,7.875,-207.213864896013,-207.213864896013
7.8125,1.09375,7.625,-208.090801421517,-208.090801421517
8.4375,1.03125,7.625,-205.510052156099,-205.510052156099
8.4375,1.03125,7.875,-205.575551860246,-205.575551860246
8.4375,1.09375,7.625,-206.086943006964,-206.086943006964
8.4375,1.09375,7.875,-206.677305870977,-206.677305870977
7.8125,1.15625,7.125,-207.892621925464,-207.892621925464
8.4375,1.15625,7.125,-206.367178414584,-206.367178414584
8.4375,1.15625,7.375,-206.702626943046,-206.702626943046
8.4375,1.21875,7.125,-207.357240556788,-207.357240556788
8.4375,1.21875,7.375,-208.150176548963,-208.150176548963
8.4375,1.15625,7.625,-207.419117610299,-207.419117610299
9.0625,1.03125,7.375,-207.405254627135,-207.405254627135
9.0625,1.09375,7.125,-207.108180808398,-207.108180808398
9.0625,1.09375,7.375,-206.158074103145,-206.158074103145
9.6875,1.09375,7.375,-208.051421332375,-208.051421332375
9.0625,1.03125,7.625,-206.302387554323,-206.302387554323
9.0625,1.03125,7.875,-205.604343078754,-205.604343078754
9.0625,1.09375,7.625,-205.633309762781,-205.633309762781
9.0625,1.09375,7.875,-205.503157467699,-205.503157467699
9.6875,1.03125,7.875,-207.306404160738,-207.306404160738
9.6875,1.09375,7.625,-206.744085749235,-206.744085749235
9.6875,1.09375,7.875,-205.862095717205,-205.862095717205
9.0625,1.15625,7.125,-206.323914297267,-206.323914297267
9.0625,1.15625,7.375,-205.916800208503,-205.916800208503
9.0625,1.21875,7.125,-206.363760511003,-206.363760511003
9.0625,1.21875,7.375,-206.456360115893,-206.456360115893
9.6875,1.15625,7.125,-207.778947857961,-207.778947857961
9.6875,1.15625,7.375,-206.596803764236,-206.596803764236
9.6875,1.21875,7.125,-206.747579468424,-206.747579468424
9.6875,1.21875,7.375,-206.105134716203,-206.105134716203
